VENDORORGANIZATIONNAME,ADDRESSLOCATIONROLES,VENDORACCOUNTNUMBER,FORMATTEDADDRESS,ADDRESSCITY,ADDRESSCOUNTRYREGIONID,ADDRESSCOUNTYID,ADDRESSDESCRIPTION,ADDRESSLOCATIONID,ADDRESSSTATEID,ADDRESSSTREET,ADDRESSSTREETNUMBER,ADDRESSVALIDFROM,ADDRESSVALIDTO,ADDRESSZIPCODE,DATAAREAID
"ALL CLEAN HAZARDOUS WASTE REMOVAL, INC.",Business;Remit to,V015441,"21 GREAT OAKS BLVD.
SAN JOSE, CA  95119",SAN JOSE,USA,,"ALL CLEAN HAZARDOUS WASTE REMOVAL, INC.",L000237949,CA,21 GREAT OAKS BLVD.,,04/28/2023 13:22:11,12/31/2154 23:59:59,95119,101
VANGUARD TRUCK CENTER OF PHOENIX,Remit to,V015442,"2402 S 19TH AVE.
PHOENIX, AZ  85009-6931",PHOENIX,USA,,VANGUARD TRUCK CENTER OF PHOENIX,L000237956,AZ,2402 S 19TH AVE.,,04/28/2023 13:41:02,12/31/2154 23:59:59,85009-6931,101
VELOCITY VEHICLE GROUP,Business;Remit to,V015443,"P.O. BOX 101284
PASADENA, CA  91189-1284",PASADENA,USA,,VELOCITY VEHICLE GROUP,L000237968,CA,P.O. BOX 101284,,04/28/2023 14:50:47,12/31/2154 23:59:59,91189-1284,101
DAWN MINING COMPANY LLC,Business;Remit to,V015445,"6900 EAST LAYTON AVENUE
DENVER, CO  80237",DENVER,USA,,DAWN MINING COMPANY LLC,L000237985,CO,6900 EAST LAYTON AVENUE,,04/28/2023 17:29:22,12/31/2154 23:59:59,80237,101
GILBRIDE ELECTRIC INC,Business;Remit to,V015446,"21 PROGRESS AVE SUITE 2 & 3
CHELMSFORD, MA  01824",CHELMSFORD,USA,,GILBRIDE ELECTRIC INC,L000238234,MA,21 PROGRESS AVE SUITE 2 & 3,,05-01-2023 12:54,12/31/2154 23:59:59,01824,101
"EVANGELICAL DEVELOPMENT MINISTRY, INC.",Business;Remit to,V015447,"P.O. BOX 130
MUENSTER, TX",MUENSTER,USA,,"EVANGELICAL DEVELOPMENT MINISTRY, INC.",L000238472,TX,P.O. BOX 130,,05-01-2023 18:55,12/31/2154 23:59:59,,101
HUNTER R HUGHES,Business;Remit to,V015448,,,USA,,HUNTER R HUGHES,L000238346,,,,05-02-2023 15:16,12/31/2154 23:59:59,,101
"BALTIMORE FLEET SERVICE, LLC",Remit to,V015449,"3501 MARBLE ARCH DR.
PASADENA, MD  21122",PASADENA,USA,,"BALTIMORE FLEET SERVICE, LLC",L000262573,MD,3501 MARBLE ARCH DR.,,07/28/2023 19:33:35,12/31/2154 23:59:59,21122,101
"ALDERMAN'S CHEVROLET, INC",Business;Remit to,V015450,"65 WINDCREST ROAD
RUTLAND, VT  65701",RUTLAND,USA,,"ALDERMAN'S CHEVROLET, INC",L000238352,VT,65 WINDCREST ROAD,,05-02-2023 15:40,12/31/2154 23:59:59,65701,101
GATOR INTERNATIONAL,Business;Remit to,V015451,"113-437 MARTIN ST, SUITE 212
PENTICTON, BC  U2A 5L1
CAN",PENTICTON,CAN,,GATOR INTERNATIONAL,L000238375,BC,"113-437 MARTIN ST, SUITE 212",,05-02-2023 18:42,12/31/2154 23:59:59,U2A 5L1,101
"SCALE SYSTEMS, INC.",Remit to,V015452,"P.O. BOX 16922
ATLANTA, GA  30321",ATLANTA,USA,,"SCALE SYSTEMS, INC.",L000238168,GA,P.O. BOX 16922,,05-03-2023 16:28,12/31/2154 23:59:59,30321,101
IDEALEASE OF CHATTANOOGA,Business;Remit to,V015453,"2601 8TH AVE
CHATTANOOGA, TN  37407",CHATTANOOGA,USA,,IDEALEASE OF CHATTANOOGA,L000238174,TN,2601 8TH AVE,,05-03-2023 19:07,12/31/2154 23:59:59,37407,101
CBRE  INC.,Remit to,V015454,"IRON MT. INFORMATION MGT
P.O. BOX 209424
AUSTIN, TX  78720-9281",AUSTIN,USA,,"CBRE, INC. AAF",L000304399,TX,"IRON MT. INFORMATION MGT
P.O. BOX 209424",,12/13/2023 15:53:07,12/31/2154 23:59:59,78720-9281,101
CBRE  INC.,Remit to,V015454,"P.O. BOX 281620
LOCATION 4613
ATLANTA, GA  30384-1620",ATLANTA,USA,,CBRE  INC.,L000238186,GA,"P.O. BOX 281620
LOCATION 4613",,05-03-2023 20:34,12/31/2154 23:59:59,30384-1620,101
CBRE  INC.,Remit to,V015454,"P.O. BOX 848844
LOS ANGELES, CA  90084-8844",LOS ANGELES,USA,,CBRE INC.,L000238185,CA,P.O. BOX 848844,,05-03-2023 20:31,12/31/2154 23:59:59,90084-8844,101
CBRE  INC.,Remit to,V015454,"P.O. BOX 740935
LOCATION 2158
LOS ANGELES, CA  90074-0935",LOS ANGELES,USA,,CBRE  INC.,L000238184,CA,"P.O. BOX 740935
LOCATION 2158",,05-03-2023 20:30,12/31/2154 23:59:59,90074-0935,101
C & M CLEANING COMPANY,Business;Remit to,V015455,"P.O. BOX 282
SYRACUSE, NY  13206",SYRACUSE,USA,,C & M CLEANING COMPANY,L000238578,NY,P.O. BOX 282,,05-04-2023 15:15,12/31/2154 23:59:59,13206,101
IKON ENVIRONMENTAL SOLUTIONS,Business;Remit to,V015456,"1102 RALPHCREST DR.
HOUSTON, TX  77039-1109",HOUSTON,USA,,IKON ENVIRONMENTAL SOLUTIONS,L000238587,TX,1102 RALPHCREST DR.,,05-04-2023 17:54,12/31/2154 23:59:59,77039-1109,101
LANDPRO EQUIPMENT LLC,Business;Remit to,V015457,"1756 LINDQUIST DRIVE
FACOLNER, NY  14733",FACOLNER,USA,,LANDPRO EQUIPMENT LLC,L000291795,NY,1756 LINDQUIST DRIVE,,10-03-2023 12:10,12/31/2154 23:59:59,14733,101
LANDPRO EQUIPMENT LLC,Business;Remit to,V015457,"4540 W. SAILE DRIVE
BATAVIA, NY  14020",BATAVIA,USA,,LANDPRO EQUIPMENT LLC,L000238593,NY,4540 W. SAILE DRIVE,,10-03-2023 12:05,12/31/2154 23:59:59,14020,101
LAZARUS INDUSTRIES LLC.,Business;Remit to,V015458,"382 HIGH STREET
BUFFALO, NY  14204",BUFFALO,USA,,LAZARUS INDUSTRIES LLC.,L000238680,NY,382 HIGH STREET,,05-05-2023 13:14,12/31/2154 23:59:59,14204,101
CANUSA HERSHMAN RECYCLING OF SOUTH CAROLINA LLC,Business;Remit to,V015459,"45 NE INDUSTRIAL RD.
BRANDFORD, CT  06405-6801",BRANDFORD,USA,,CANUSA HERSHMAN RECYCLING OF SOUTH CAROLINA LLC,L000238687,CT,45 NE INDUSTRIAL RD.,,05-05-2023 13:35,12/31/2154 23:59:59,06405-6801,101
FOSS ENTERPRISES,Business;Remit to,V015460,"159 S MAIN ST.
SOLON, ME  04979",SOLON,USA,,FOSS ENTERPRISES,L000238695,ME,159 S MAIN ST.,,05-05-2023 13:58,12/31/2154 23:59:59,04979,101
BOBCAT OF LAS VEGAS,Remit to,V015461,"P.O. BOX 759
CARDIFF, CA  92007",CARDIFF,USA,,BOBCAT OF LAS VEGAS,L000238709,CA,P.O. BOX 759,,05-05-2023 16:10,12/31/2154 23:59:59,92007,101
R & J REPACKAGING LLC,Business;Remit to,V015462,"2015 COTTON GROVE RD
LEXINGTON, NC  27292",LEXINGTON,USA,,R & J REPACKAGING LLC,L000238712,NC,2015 COTTON GROVE RD,,05-05-2023 16:32,12/31/2154 23:59:59,27292,101
AMBYTH CHEMICAL,Business;Remit to,V015463,"6717 35TH AVENUE NW
SEATTLE, WA  98117",SEATTLE,USA,,AMBYTH CHEMICAL,L000238253,WA,6717 35TH AVENUE NW,,05-05-2023 17:19,12/31/2154 23:59:59,98117,101
SAMIR DELCHAD,Business;Remit to,V015464,"16134 DEER RIDGE COURT
SAN DIEGO, CA  92127",SAN DIEGO,USA,,DR. SAMIR DELCHAD,L000238260,CA,16134 DEER RIDGE COURT,,05-05-2023 17:48,12/31/2154 23:59:59,92127,101
LMI TENNNESSEE INC,Business;Remit to,V015465,"5492 HWY 70 WEST
Waverly, TN  37185",Waverly,USA,,LMI TENNNESSEE INC,L000239029,TN,5492 HWY 70 WEST,,05-08-2023 18:29,12/31/2154 23:59:59,37185,101
E-RECYCLING OF CALIFORNIA,Business;Remit to,V015466,"7230 PETTERSON LANE
PARAMOUNT, CA  90723",PARAMOUNT,USA,,E-RECYCLING OF CALIFORNIA,L000239222,CA,7230 PETTERSON LANE,,05-09-2023 11:27,12/31/2154 23:59:59,90723,101
CAPITAL RUBBER & GASKET,Business;Remit to,V015467,"1725 19TH STREET
Sacramento, CA  95811",Sacramento,USA,,CAPITAL RUBBER & GASKET,L000238767,CA,1725 19TH STREET,,05-09-2023 11:35,12/31/2154 23:59:59,95811,101
GLOBAL ENVIRONMENTAL & INDUSTRIAL RESPONSE LLC,Business;Remit to,V015468,"5014 N 56TH STREET
TAMPA, FL  33610",TAMPA,USA,,GLOBAL ENVIRONMENTAL & INDUSTRIAL RESPONSE LLC,L000238773,FL,5014 N 56TH STREET,,05-09-2023 12:15,12/31/2154 23:59:59,33610,101
DONNELLY CONSTRUCTION,Business;Remit to,V015469,"P.O. BOX 150
MECHANICVILLE, NY  12118",MECHANICVILLE,USA,,DONNELLY CONSTRUCTION,L000238892,NY,P.O. BOX 150,,05-09-2023 13:29,12/31/2154 23:59:59,12118,101
JEANNE BISANZ,Business;Remit to,V015470,,,USA,,JEANNE BISANZ,L000238779,,,,05-09-2023 14:34,12/31/2154 23:59:59,,101
MAC OILFIELD,Business;Remit to,V015471,"MAC OILFIELD
P.O. BOX 732951
DALLAS, TX  75373-2951",DALLAS,USA,,GULF COAST BUSINESS CREDIT,L000238903,TX,"MAC OILFIELD
P.O. BOX 732951
",,06-09-2023 17:21,12/31/2154 23:59:59,75373-2951,101
CEJKA TRUCKING,Business;Remit to,V015472,"P.O. BOX 712
SHERIDAN, IL  60551-0712",SHERIDAN,USA,,CEJKA TRUCKING,L000239423,IL,P.O. BOX 712,,05-10-2023 11:25,12/31/2154 23:59:59,60551-0712,101
ANNAVILLE VOLUNTEER FIRE DEPARTMENT,Business;Remit to,V015473,"11551 LEOPARD ST
CORPUS CHRISTI, TX  78410",CORPUS CHRISTI,USA,,ANNAVILLE VOLUNTEER FIRE DEPARTMENT,L000238921,TX,11551 LEOPARD ST,,05-10-2023 15:51,12/31/2154 23:59:59,78410,101
BARANOF HOTEL,Business;Remit to,V015474,"127 N FRANKLIN ST
JUNEAU, AK  99801",JUNEAU,USA,,BARANOF HOTEL,L000239523,AK,127 N FRANKLIN ST,,05-10-2023 16:43,12/31/2154 23:59:59,99801,101
"COMPRESSOR-PUMP & SERVICE, INC.",Business;Remit to,V015476,"3333 W 2400 S
SALT LAKE CITY, UT  84119",SALT LAKE CITY,USA,,"COMPRESSOR-PUMP & SERVICE, INC.",L000239531,UT,3333 W 2400 S,,05-10-2023 17:51,12/31/2154 23:59:59,84119,101
"HEAVY EQUIPMENT MACHINERY, INC.",Remit to,V015477,"P.O. BOX 10730
GLENDALE, AZ  85318",GLENDALE,USA,,"HEAVY EQUIPMENT MACHINERY, INC.",L000395946,AZ,P.O. BOX 10730,,12-04-2024 12:27,12/31/2154 23:59:59,85318,101
INFINITE INSTALLATION SERVICES INC,Business;Remit to,V015479,"214 MAIN ST #327
EL SEGUNDO, CA  90245",EL SEGUNDO,USA,,INFINITE INSTALLATION SERVICES INC,L000239627,CA,214 MAIN ST #327,,05-11-2023 14:57,12/31/2154 23:59:59,90245,101
MULTIPLE SOLUTIONS,Business;Remit to,V015480,"338 HICKORY CT
NAMPA, ID  83686",NAMPA,USA,,MULTIPLE SOLUTIONS,L000239197,ID,338 HICKORY CT,,05-11-2023 18:13,12/31/2154 23:59:59,83686,101
"ACE-TEX ENTERPRISES, INC.",Remit to,V015481,"DEPT #430
P.O. BOX 1000
MEMPHIS, TN  38148-0143",MEMPHIS,USA,,CCI-ATX. LLC,L000239635,TN,"DEPT #430
P.O. BOX 1000",,05-11-2023 19:20,12/31/2154 23:59:59,38148-0143,101
"PACIFIC MOBILE STRUCTURES, INC.",Remit to,V015482,"P.O. BOX 24747
SEATTLE, WA  98124",SEATTLE,USA,,"PACIFIC MOBILE STRUCTURES, INC.",L000239924,WA,P.O. BOX 24747,,05-12-2023 12:35,12/31/2154 23:59:59,98124,101
KAVEN KOLB,Business;Remit to,V015483,,,USA,,KAVEN KOLB,L000239931,,,,05-12-2023 12:52,12/31/2154 23:59:59,,101
DAYTON SAND & GRAVEL CO. INC.,Business;Remit to,V015484,"928 GOODWINS MILLS ROAD
DAYTON, ME  04005",DAYTON,USA,,DAYTON SAND & GRAVEL CO. INC,L000239933,ME,928 GOODWINS MILLS ROAD,,05-12-2023 13:00,12/31/2154 23:59:59,04005,101
PARTNER ASSESSMENT CORPORATION,Remit to,V015485,"P.O. BOX 207428
DALLAS, CA  75320-7428",DALLAS,USA,,PARTNER ASSESSMENT CORPORATION,L000239937,CA,P.O. BOX 207428,,05-12-2023 13:16,12/31/2154 23:59:59,75320-7428,101
PINE RIVER SAND AND GRAVEL LLC,Business;Remit to,V015486,"125 DUNCAN LAKE RD
OSSIPEE, NH  03864",OSSIPEE,USA,,PINE RIVER SAND AND GRAVEL LLC,L000239943,NH,125 DUNCAN LAKE RD,,05-12-2023 14:06,12/31/2154 23:59:59,03864,101
"HOTSY CLEANING EQUIPMENT, INC.",Business;Remit to,V015487,"2732 OLD AUSTIN PEAY HWY
MEMPHIS, TN  38128",MEMPHIS,USA,,"HOTSY CLEANING EQUIPMENT, INC.",L000239089,TN,2732 OLD AUSTIN PEAY HWY,,05-12-2023 17:59,12/31/2154 23:59:59,38128,101
NOAH HUSTON,Business;Remit to,V015488,,,USA,,NOAH HUSTON,L000239106,,,,05-12-2023 18:49,12/31/2154 23:59:59,,101
WEST HERR DODGE LLC,Remit to,V015489,"6200 S. TRANSIT RD
LOCKPORT, NY  14094",LOCKPORT,USA,,WEST HERR DODGE LLC,L000251702,NY,6200 S. TRANSIT RD,,06-05-2023 16:36,12/31/2154 23:59:59,14094,101
PIONEER WIPING CLOTH,Remit to,V015490,"P.O. BOX 83715
PORTLAND, OR  97283",PORTLAND,USA,,PIONEER WIPING CLOTH,L000239118,OR,P.O. BOX 83715,,05-12-2023 19:17,12/31/2154 23:59:59,97283,101
LIANE HALL,Business;Remit to,V015491,,,USA,,LIANE HALL,L000240623,,,,05/15/2023 12:14:37,12/31/2154 23:59:59,,101
4-STAR HOSE & SUPPLY INC.,Business;Remit to,V015492,"P.O. BOX 541356
DALLAS, TX  75354-1356",DALLAS,USA,,4-STAR HOSE & SUPPLY INC.,L000240824,TX,P.O. BOX 541356,,05/16/2023 11:28:45,12/31/2154 23:59:59,75354-1356,101
BEST LOGISTICS,Remit to,V015493,"P.O. BOX 336
KERNERSVILLE, NC  27285",KERNERSVILLE,USA,,BEST LOGISTICS,L000240827,NC,P.O. BOX 336,,05/16/2023 11:49:45,12/31/2154 23:59:59,27285,101
MOWATT INCORPORATED,Business;Remit to,V015494,"PO BOX 5197
SPANAWAY, WA  98387",SPANAWAY,USA,,MOWATT INCORPORATED,L000240728,WA,PO BOX 5197,,05/16/2023 12:08:55,12/31/2154 23:59:59,98387,101
SANS LOGISTICS LLC,Business;Remit to,V015495,"25614 ECORSE RD
TAYLOR, MI  48180",TAYLOR,USA,,SANS LOGISTICS LLC,L000240836,MI,25614 ECORSE RD,,05/16/2023 12:58:45,12/31/2154 23:59:59,48180,101
ALL GELLY ADMINISTRATORS INC,Business;Remit to,V015496,"P.O. BOX 51870
MIDLAND, TX  79710-1870",MIDLAND,USA,,ALL GELLY ADMINISTRATORS INC,L000240853,TX,P.O. BOX 51870,,05/16/2023 18:55:56,12/31/2154 23:59:59,79710-1870,101
GUADALUPE COUNTY TAX OFFICE,Business;Remit to,V015497,"P.O. DRAWER 70
SEGUIN, TX  78155-0070",SEGUIN,USA,,GUADALUPE COUNTY TAX OFFICE,L000240859,TX,P.O. DRAWER 70,,05/16/2023 19:46:11,12/31/2154 23:59:59,78155-0070,101
T-REX SERVICES,Business;Remit to,V015498,"5114 RAILROAD STREET
DEEP PARK, TX  77536",DEEP PARK,USA,,T-REX SERVICES,L000241323,TX,5114 RAILROAD STREET,,05/17/2023 11:18:37,12/31/2154 23:59:59,77536,101
AAQUA TOOLS,Business;Remit to,V015499,"PO BOX 4226
EL DORADO HILLS, CA  95762",EL DORADO HILLS,USA,,AAQUA TOOLS,L000241329,CA,PO BOX 4226,,05/17/2023 11:51:46,12/31/2154 23:59:59,95762,101
"LAKEWOOD CONSTRUCTION SERVICES, INC.",Business;Remit to,V015500,"33 EDWARD STREET
MALONE, NY  12953",MALONE,USA,,"LAKEWOOD CONSTRUCTION SERVICES, INC.",L000241331,NY,33 EDWARD STREET,,05/17/2023 11:57:19,12/31/2154 23:59:59,12953,101
MCMAHAN SERVICES LTD.,Remit to,V015501,"269 US HWY 183 S
CUERO, TX  77954",CUERO,USA,,MCMAHAN SERVICES LTD.,L000241346,TX,269 US HWY 183 S,,05/17/2023 15:05:29,12/31/2154 23:59:59,77954,101
NATIONWIDE HAUL LLC,Business;Remit to,V015502,"2221 NW 22ND AVE
POMPANO BEACH, FL  33069",POMPANO BEACH,USA,,NATIONWIDE HAUL LLC,L000241339,FL,2221 NW 22ND AVE,,05/17/2023 14:02:02,12/31/2154 23:59:59,33069,101
"VELOX OILFIELD SERVICES, INC.",Business;Remit to,V015503,"3649 LEOPARD ST.
SUITE 324
CORPUS CHRISTI, TX  78408",CORPUS CHRISTI,USA,,"VELOX OILFIELD SERVICES, INC.",L000240752,TX,"3649 LEOPARD ST.
SUITE 324",,05/18/2023 12:50:01,12/31/2154 23:59:59,78408,101
NORTHWOOD FIREFIGHTERS ASSOCIATION,Business;Remit to,V015504,"6000 WALES RD
NORTHWOOD, OH  43619",NORTHWOOD,USA,,NORTHWOOD FIREFIGHTERS ASSOCIATION,L000241524,OH,6000 WALES RD,,05/18/2023 14:16:40,12/31/2154 23:59:59,43619,101
TRIAD TOTAL CARE LLC,Business;Remit to,V015505,"P.O. BOX 1488
MEBANE, NC  27302",MEBANE,USA,,TRIAD TOTAL CARE LLC,L000240762,NC,P.O. BOX 1488,,05/18/2023 14:45:43,12/31/2154 23:59:59,27302,101
CLASSIC EQUIPMENT SALES LLC,Business;Remit to,V015506,"3480 S I 35 SERVICE RD. E
WAXAHACHIE, TX  75165-5503",WAXAHACHIE,USA,,CLASSIC EQUIPMENT SALES LLC,L000240770,TX,3480 S I 35 SERVICE RD. E,,05/18/2023 15:52:32,12/31/2154 23:59:59,75165-5503,101
CHRISTIANSTED EQUIPMENT LTD,Remit to,V015507,"PO BOX 1567
ST CROIX, VI",ST CROIX,USA,,CHRISTIANSTED EQUIPMENT LTD,L000241727,VI,PO BOX 1567,,05/22/2023 17:08:13,12/31/2154 23:59:59,,101
SKYLAR FISHER,Business;Remit to,V015508,,,USA,,SKYLAR FISHER,L000241573,,,,05/23/2023 13:34:58,12/31/2154 23:59:59,,101
DESERT HYDRAULICS LLC,Business;Remit to,V015509,"6885 SPEEDWAY BLVD
UNIT Y-155
LAS VEGAS, NV  89115",LAS VEGAS,USA,,DESERT HYDRAULICS LLC,L000248012,NV,"6885 SPEEDWAY BLVD
UNIT Y-155",,05/24/2023 13:51:31,12/31/2154 23:59:59,89115,101
SHINELASTIC LLC,Business;Remit to,V015510,"PO BOX 33478
PORTLAND, OR  97292",PORTLAND,USA,,SHINELASTIC LLC,L000248244,OR,PO BOX 33478,,05/24/2023 17:19:04,12/31/2154 23:59:59,97292,101
MOSER ARCHTECTURE STUDIO LLC,Business;Remit to,V015511,"5975 EDMOND ST
LAS VEGAS, NV  89118",LAS VEGAS,USA,,MOSER ARCHTECTURE STUDIO LLC,L000248253,NV,5975 EDMOND ST,,05/24/2023 18:45:29,12/31/2154 23:59:59,89118,101
JH INDUSTRIES,Business;Remit to,V015512,"1981 EAST AURORA RD
TWINSBURG, OH  44087",TWINSBURG,USA,,JH INDUSTRIES,L000248075,OH,1981 EAST AURORA RD,,05/25/2023 12:14:53,12/31/2154 23:59:59,44087,101
POWER PRODUCTS,Business;Remit to,V015513,"1 SOUTHERN INDUSTRIAL DR
CRANSTON, RI  02921",CRANSTON,USA,,POWER PRODUCTS,L000248081,RI,1 SOUTHERN INDUSTRIAL DR,,05/25/2023 13:02:37,12/31/2154 23:59:59,02921,101
MELANIE AUSTIN,Business;Remit to,V015514,,,USA,,MELANIE AUSTIN,L000248087,,,,05/25/2023 16:23:22,12/31/2154 23:59:59,,101
KCH TRANSPORTATION,Business;Remit to,V015515,"1208 KING ST
STE 320
CHATTANOOGA, TN  37403",CHATTANOOGA,USA,,KCH TRANSPORTATION,L000248089,TN,"1208 KING ST
STE 320",,05/25/2023 16:58:58,12/31/2154 23:59:59,37403,101
MOBILE MOUNTING SOLUTIONS INC,Business;Remit to,V015516,"ATTN: ACCOUNTING DEPT
406 INTERCHANGE ST SUITE A
MCKINNEY, TX  75071",MCKINNEY,USA,,MOBILE MOUNTING SOLUTIONS INC,L000249737,TX,"ATTN: ACCOUNTING DEPT
406 INTERCHANGE ST SUITE A",,05/26/2023 11:46:47,12/31/2154 23:59:59,75071,101
TERRA ENVIRONMENTAL LLC,Business;Remit to,V015518,"159 HAVEN ST
2ND FLOOR
READING, MA  01867",READING,USA,,TERRA ENVIRONMENTAL LLC,L000249743,MA,"159 HAVEN ST
2ND FLOOR",,05/26/2023 12:09:10,12/31/2154 23:59:59,01867,101
NAPOLITANO PROPERTY MANAGEMENT,Business;Remit to,V015520,"90 WALNUT HILL RD
NORTH YARMOUTH, ME  04097",NORTH YARMOUTH,USA,,NAPOLITANO PROPERTY MANAGEMENT,L000249749,ME,90 WALNUT HILL RD,,05/26/2023 16:17:24,12/31/2154 23:59:59,04097,101
BRENNAN OSBORN,Business;Remit to,V015521,,,USA,,BRENNAN OSBORN,L000249755,,,,05/26/2023 17:01:34,12/31/2154 23:59:59,,101
DAVENPORT BROTHERS CONSTRUCTION CO INC.,Business;Remit to,V015523,"301 INDUSTRIAL PARK DR.
BELLEVILLE, MI  48111",BELLEVILLE,USA,,DAVENPORT BROTHERS CONSTRUCTION CO INC.,L000250689,MI,301 INDUSTRIAL PARK DR.,,05/30/2023 19:52:35,12/31/2154 23:59:59,48111,101
"EAGLE RAILCAR SERVICES-DUBOIS, PA LLC",Remit to,V015524,"SHANDA HAMILTON
P.O. BOX 1579
EASTLAND, TX  76448",EASTLAND,USA,,"EAGLE RAILCAR SERVICES-DUBOIS, PA LLC",L000250543,TX,"SHANDA HAMILTON
P.O. BOX 1579",,05/31/2023 12:42:35,12/31/2154 23:59:59,76448,101
NEW YORK STATE DEPARTMENT OF LABOR,Business;Remit to,V015525,"P.O. BOX 4301
BINGHAMTON, NY  13902-4301",BINGHAMTON,USA,,NEW YORK STATE DEPARTMENT OF LABOR,L000306517,NY,P.O. BOX 4301,,01-03-2024 17:24,12/31/2154 23:59:59,13902-4301,101
NEW YORK STATE DEPARTMENT OF LABOR,Business;Remit to,V015525,"STATE OFFICE CAMPUS, BUILDING 12, ROOM 161A
ALBANY, NY  12240",ALBANY,USA,,"NY STATE DEPARTMENT OF LABOR, LICENSE & CERT. UNIT",L000277266,NY,"STATE OFFICE CAMPUS, BUILDING 12, ROOM 161A",,08-11-2023 00:00,12/31/2154 00:00:00,12240,101
NEW YORK STATE DEPARTMENT OF LABOR,Remit to,V015525,"P.O. BOX 4305
BINGHAMTON, NY  13902-4305",BINGHAMTON,USA,,NEW YORK STATE DEPARTMENT OF LABOR,L000250769,NY,P.O. BOX 4305,,05/31/2023 18:37:31,12/31/2154 23:59:59,13902-4305,101
A-1 INDUSTRIAL,Business;Remit to,V015526,"5-SE CAMPBELL DR
P.O. BOX 1146
HERMISTON , OR  97838-9470",HERMISTON,USA,,A-1 INDUSTRIAL,L000251518,OR,"5-SE CAMPBELL DR
P.O. BOX 1146",,06-02-2023 12:59,12/31/2154 23:59:59,97838-9470,101
WAPAK FORD LLC,Business;Remit to,V015527,"613 N. DIXIE HWY
WAPAKONETA, OH  45895",WAPAKONETA,USA,,WAPAK FORD LLC,L000251656,OH,613 N. DIXIE HWY,,06-02-2023 16:04,12/31/2154 23:59:59,45895,101
JWS CUSTOM FABRICATION LLC,Business;Remit to,V015528,"P.O. BOX 823
STANWOOD, WA  98292",STANWOOD,USA,,JWS CUSTOM FABRICATION LLC,L000255965,WA,P.O. BOX 823,,06/23/2023 14:12:46,12/31/2154 23:59:59,98292,101
JWS CUSTOM FABRICATION LLC,Business;Remit to,V015528,"333 E. BLACKBURN RD. STE. F
MOUNT VERNON, WA  98273",MOUNT VERNON,USA,,JWS CUSTOM FABRICATION LLC,L000251675,WA,333 E. BLACKBURN RD. STE. F,,06-02-2023 18:04,12/31/2154 23:59:59,98273,101
CORE & MAIN LP,Remit to,V015530,"P.O. BOX 28330
ST LOUIS, MO  63146",ST LOUIS,USA,,CORE & MAIN LP,L000251690,MO,P.O. BOX 28330,,06-02-2023 19:54,12/31/2154 23:59:59,63146,101
"AFSCO FENCE SUPPLY CO., INC",Business;Remit to,V015531,"P.O. BOX 98
LATHAM, NY  12110",LATHAM,USA,,"AFSCO FENCE SUPPLY CO., INC.",L000251697,NY,P.O. BOX 98,,06-05-2023 14:41,12/31/2154 23:59:59,12110,101
AUSTIN MORENO,Business;Remit to,V015532,,,USA,,AUSTIN MORENO,L000251707,,,,06-05-2023 18:13,12/31/2154 23:59:59,,101
SAVANNAH RICHARDSON,Business;Remit to,V015533,,,USA,,SAVANNAH RICHARDSON,L000252260,,,,06-06-2023 14:05,12/31/2154 23:59:59,,101
HAMPTON FORD INC.,Remit to,V015535,"P.O. BOX 489
NORTH HAMPTON, NH  03862",NORTH HAMPTON,USA,,HAMPTON FORD INC.,L000252266,NH,P.O. BOX 489,,06-06-2023 14:50,12/31/2154 23:59:59,03862,101
HAMPTON FORD INC.,Business;Remit to,V015535,"177 LAFAYETTE RD
NORTH HAMPTON, NH  03862",NORTH HAMPTON,USA,,HAMPTON FORD INC.,L000252265,NH,177 LAFAYETTE RD,,06-06-2023 14:49,12/31/2154 23:59:59,03862,101
NATIONAL INDUSTRIAL SERVICES,Business;Remit to,V015536,"SAMANTHA JAGRUP
P.O. BOX 1545
KINGSHILL, VI  00851",KINGSHILL,USA,,NATIONAL INDUSTRIAL SERVICES,L000252274,VI,"SAMANTHA JAGRUP
P.O. BOX 1545",,06-06-2023 15:15,12/31/2154 23:59:59,00851,101
METRIUS ELECTRICAL SERVICES,Business;Remit to,V015537,"3774 GROVE ST. H3
LEMON GROVE, CA  91945",LEMON GROVE,USA,,METRIUS ELECTRICAL SERVICES,L000252284,CA,3774 GROVE ST. H3,,06-06-2023 17:12,12/31/2154 23:59:59,91945,101
TRC ENVIRONMENTAL CORPORATION,Business;Remit to,V015538,"P.O. BOX 536282
PITTSBURGH, PA  15253-5904",PITTSBURGH,USA,,TRC ENVIRONMENTAL CORPORATION,L000251740,PA,P.O. BOX 536282,,06-07-2023 15:46,12/31/2154 23:59:59,15253-5904,101
CON1 TRUCKING LLC,Remit to,V015539,"APEX CAPITAL
P.O. BOX 961029
FORT WORTH, TX  76161",FORT WORTH,USA,,CON1 TRUCKING LLC,L000255221,TX,"APEX CAPITAL
P.O. BOX 961029",,06/21/2023 17:34:38,12/31/2154 23:59:59,76161,101
CON1 TRUCKING LLC,Business;Remit to,V015539,"CHRIS COLGROVE
P.O. BOX 372
MONMOUTH, OR  97361",MONMOUTH,USA,,CON1 TRUCKING LLC,L000251744,OR,"CHRIS COLGROVE
P.O. BOX 372",,06-07-2023 17:16,12/31/2154 23:59:59,97361,101
