VENDORORGANIZATIONNAME,ADDRESSLOCATIONROLES,VENDORACCOUNTNUMBER,FORMATTEDADDRESS,ADDRESSCITY,ADDRESSCOUNTRYREGIONID,ADDRESSCOUNTYID,ADDRESSDESCRIPTION,ADDRESSLOCATIONID,ADDRESSSTATEID,ADDRESSSTREET,ADDRESSSTREETNUMBER,ADDRESSVALIDFROM,ADDRESSVALIDTO,ADDRESSZIPCODE,DATAAREAID
SPEEDY GLASS,Business;Remit to,VCA010484,"8288 PIE-IX BLVD
MONTREAL, QC  H1Z 3T6
CAN",MONTREAL,CAN,,SPEEDY GLASS,L000117058,QC,8288 PIE-IX BLVD,,01-10-2021 00:00,12/31/2154 23:59:59,H1Z 3T6,154
ST. PATRICLK'S CHS,Business;Remit to,VCA010485,"1001 THE RAPIDS PARKWAY
SARNIA, ON  N7S 6K2
CAN",SARNIA,CAN,,ST. PATRICLK'S CHS,L000117059,ON,"1001 THE RAPIDS PARKWAY",,01-10-2021 00:00,12/31/2154 23:59:59,N7S 6K2,154
"STARR CONTAINERS, INC.",Business;Remit to,VCA010487,"448 DALLAS CRT. PO BOX 923
CORUNNA, ON  N0N 1G0
CAN",CORUNNA,CAN,,"STARR CONTAINERS, INC.",L000117061,ON,"448 DALLAS CRT. PO BOX 923",,01-10-2021 00:00,12/31/2154 23:59:59,N0N 1G0,154
STATESUDE TRANSPORTATION CONSULTANTS INC.,Business;Remit to,VCA010488,"6705 TOMKEN RD SUITE 219
MISSISSAUGA, ON  L5T 2J6
CAN",MISSISSAUGA,CAN,,STATESUDE TRANSPORTATION CONSULTANTS INC.,L000117062,ON,"6705 TOMKEN RD SUITE 219",,01-10-2021 00:00,12/31/2154 23:59:59,L5T 2J6,154
STEELHORSE FREIGHT,Business;Remit to,VCA010489,"STEELHORSE FREIGHT SERVICES LTD BOX 5323
HIGH RIVER, AB  T1V 1M5
CAN",HIGH RIVER,CAN,,STEELHORSE FREIGHT,L000117063,AB,"STEELHORSE FREIGHT SERVICES LTD BOX 5323",,01-10-2021 00:00,12/31/2154 23:59:59,T1V 1M5,154
SUMMIT CONTROLS LTD,Business;Remit to,VCA010490,"1355 CONFEDERATION ST
SARNIA, ON  N7S 4T2
CAN",SARNIA,CAN,,SUMMIT CONTROLS LTD,L000117064,ON,"1355 CONFEDERATION ST",,01-10-2021 00:00,12/31/2154 23:59:59,N7S 4T2,154
SURE HORIZON ENVIRONMENTAL INC,Business;Remit to,VCA010491,"40 ADVANCE BLVD
BRAMPTON, ON  L6T 4J4
CAN",BRAMPTON,CAN,,SURE HORIZON ENVIRONMENTAL INC,L000117065,ON,"40 ADVANCE BLVD",,01-10-2021 00:00,12/31/2154 23:59:59,L6T 4J4,154
SURE SIGNS,Business;Remit to,VCA010492,"800 CONFEDERATION ST UNIT C
SARNIA, ON  N7T 2E3
CAN",SARNIA,CAN,,SURE SIGNS,L000117066,ON,"800 CONFEDERATION ST UNIT C",,01-10-2021 00:00,12/31/2154 23:59:59,N7T 2E3,154
TALBOT MARKETING,Business;Remit to,VCA010493,"POSTAL STATION A PO BOX 7805
TORONTO, ON  M5W 2R2
CAN",TORONTO,CAN,,TALBOT MARKETING,L000117067,ON,POSTAL STATION A PO BOX 7805,,01-10-2021 00:00,12/31/2154 23:59:59,M5W 2R2,154
TARGET OILFIELD & INDUSTRIAL SERVICES,Business;Remit to,VCA010494,"TARGET OILFILED & INDUSTRIAL SERVICE1241 STANLEY LINE
SOMBRA, ON  N0P 2H0
CAN",SOMBRA,CAN,,TARGET OILFIELD & INDUSTRIAL SERVICES,L000117068,ON,"TARGET OILFILED & INDUSTRIAL SERVICE1241 STANLEY LINE",,01-10-2021 00:00,12/31/2154 23:59:59,N0P 2H0,154
TEAM TRUCK CENTRES,Business;Remit to,VCA010495,"1453 CONFEDERATION ST
SARNIA, ON  N7S 5N9
CAN",SARNIA,CAN,,TEAM TRUCK CENTRES,L000117069,ON,1453 CONFEDERATION ST,,01-10-2021 00:00,12/31/2154 23:59:59,N7S 5N9,154
TEAMSTERS LOCAL UNION 879,Business;Remit to,VCA010496,"#22-1790 DUNDAS ST
LONDON, ON  N5W 3E5
CAN",LONDON,CAN,,TEAMSTERS LOCAL UNION 879,L000117070,ON,"#22-1790 DUNDAS ST",,01-10-2021 00:00,12/31/2154 23:59:59,N5W 3E5,154
TECH SONIC LP (AVIF CLEANING GP LP),Business;Remit to,VCA010497,"7550 HIGHWAY 27, UNIT 1&2
VAUGHAN, ON  L4H 0S2
CAN",VAUGHAN,CAN,,TECH SONIC LP (AVIF CLEANING GP LP),L000117071,ON,"7550 HIGHWAY 27, UNIT 1&2",,01-10-2021 00:00,12/31/2154 23:59:59,L4H 0S2,154
TED LEWIS,Business;Remit to,VCA010498,"58 PEBBLE BEACH CRT.
WOODSTOCK, ON  N4S 8X2
CAN",WOODSTOCK,CAN,,TED LEWIS,L000117072,ON,58 PEBBLE BEACH CRT.,,01-10-2021 00:00,12/31/2154 23:59:59,N4S 8X2,154
TERRAPURE/REVOLUTION,Business;Remit to,VCA010499,"1100 BURLOAK DRIVE, SUITE 500
BURLINGTON, ON  L7L 6B2
CAN",BURLINGTON,CAN,,TERRAPURE/REVOLUTION,L000117073,ON,"1100 BURLOAK DRIVE, SUITE 500",,01-10-2021 00:00,12/31/2154 23:59:59,L7L 6B2,154
THE HARBOURFRONT INN & SUITES,Business;Remit to,VCA010500,"505 HARBOUR ROAD
SARNIA, ON  N7T 5R8
CAN",SARNIA,CAN,,THE HARBOURFRONT INN & SUITES,L000117074,ON,505 HARBOUR ROAD,,01-10-2021 00:00,12/31/2154 23:59:59,N7T 5R8,154
THE MUFFLERMAN,Business;Remit to,VCA010501,"759 EXMOUTH STREET
SARNIA, ON  N7T 5P7
CAN",SARNIA,CAN,,THE MUFFLERMAN,L000117075,ON,"759 EXMOUTH STREET",,01-10-2021 00:00,12/31/2154 23:59:59,N7T 5P7,154
THE OIL CHEMICAL BONSPIEL ASSOC.,Business;Remit to,VCA010502,"1584 COVENTRY COURT
SARNIA, ON  N7S 3X8
CAN",SARNIA,CAN,,THE OIL CHEMICAL BONSPIEL ASSOC.,L000117076,ON,1584 COVENTRY COURT,,01-10-2021 00:00,12/31/2154 23:59:59,N7S 3X8,154
THE SARNIA OIL-CHEMICAL BONSPIEL,Business;Remit to,VCA010503,"C/O OF SARNIA GOLF & CURLING CLUB 500 ERROL RD W
SARNIA, ON  N7V 1X7
CAN",SARNIA,CAN,,THE SARNIA OIL-CHEMICAL BONSPIEL,L000117077,ON,C/O OF SARNIA GOLF & CURLING CLUB 500 ERROL RD W,,01-10-2021 00:00,12/31/2154 23:59:59,N7V 1X7,154
THE TARP DEPOT,Business;Remit to,VCA010504,"2606 PASADENA BLVD
PASADENA, TX  77502",PASADENA,USA,,THE TARP DEPOT,L000117078,TX,"2606 PASADENA BLVD",,01-10-2021 00:00,12/31/2154 23:59:59,77502,154
THE TRUCK SHOP,Business;Remit to,VCA010505,"99 SHOEMAKER STREET, UNITS 3-6
KITCHENER, ON  N2E 3B5
CAN",KITCHENER,CAN,,THE TRUCK SHOP,L000117079,ON,"99 SHOEMAKER STREET, UNITS 3-6",,01-10-2021 00:00,12/31/2154 23:59:59,N2E 3B5,154
"THUNDERSTRUCK TRUCKING, INC.",Business;Remit to,VCA010506,"4067 LONDON LINE
RR # 1 WYOMING, ON  N0N 1T0
CAN",RR # 1 WYOMING,CAN,,"THUNDERSTRUCK TRUCKING, INC.",L000117080,ON,"4067 LONDON LINE",,01-10-2021 00:00,12/31/2154 23:59:59,N0N 1T0,154
TIGER INDUSTRIAL,Business;Remit to,VCA010507,"CRENSHAW ENTERPRISES LTD DBA TIGER INDUSTRIAL RENTALS P.O.BOX 790
BEAUMONT, TX  77704-0790",BEAUMONT,USA,,TIGER INDUSTRIAL,L000117081,TX,"CRENSHAW ENTERPRISES LTD DBA TIGER INDUSTRIAL RENTALS P.O.BOX 790",,01-10-2021 00:00,12/31/2154 23:59:59,77704-0790,154
TIRECRAFT - SARNIA TIRE SERVICES INC.,Business;Remit to,VCA010508,"1341 PLANK ROAD
SARNIA, ON  N7W 1A7
CAN",SARNIA,CAN,,TIRECRAFT - SARNIA TIRE SERVICES INC.,L000117082,ON,1341 PLANK ROAD,,01-10-2021 00:00,12/31/2154 23:59:59,N7W 1A7,154
TMR SERVICES,Business;Remit to,VCA010509,"87 ELMGROVE CR
LONDON, ON  N6J 3X4
CAN",LONDON,CAN,,TMR SERVICES,L000117083,ON,"87 ELMGROVE CR",,01-10-2021 00:00,12/31/2154 23:59:59,N6J 3X4,154
TQL,Business;Remit to,VCA010511,"PO BOX 634558
CINCINNATI, OH  45263-4558",CINCINNATI,USA,,TQL,L000117085,OH,PO BOX 634558,,01-10-2021 00:00,12/31/2154 23:59:59,45263-4558,154
TRAILER WIZARDS,Business;Remit to,VCA010512,"4649 HASTINGS STREET
BURNABY,, BC  V5C 2K6
CAN","BURNABY,",CAN,,TRAILER WIZARDS,L000117086,BC,4649 HASTINGS STREET,,01-10-2021 00:00,12/31/2154 23:59:59,V5C 2K6,154
TRAK-BASE INC.,Business;Remit to,VCA010513,"3 PORTSIDE ST
HANNON, ON  L0R 1P0
CAN",HANNON,CAN,,TRAK-BASE INC.,L000117087,ON,3 PORTSIDE ST,,01-10-2021 00:00,12/31/2154 23:59:59,L0R 1P0,154
TRANSCO RECYCLING INC,Business;Remit to,VCA010514,"387 MCGREGOR RD SOUTH
SARNIA, ON  N7T 7H5
CAN",SARNIA,CAN,,TRANSCO RECYCLING INC,L000117088,ON,"387 MCGREGOR RD SOUTH",,01-10-2021 00:00,12/31/2154 23:59:59,N7T 7H5,154
UNICORN TRUCK WASH,Business;Remit to,VCA010515,"P.O. BOX 99 500 AIRPORT INDUSTRIAL PARK
BRESLAU, ON  N0B 1M0
CAN",BRESLAU,CAN,,UNICORN TRUCK WASH,L000117089,ON,P.O. BOX 99 500 AIRPORT INDUSTRIAL PARK,,01-10-2021 00:00,12/31/2154 23:59:59,N0B 1M0,154
VOLUME TANK TRANSPORT INC,Business;Remit to,VCA010516,"1230 SHAWSON DRIVE
MISSISSAUGA, ON  L4W 1C3
CAN",MISSISSAUGA,CAN,,VOLUME TANK TRANSPORT INC,L000117090,ON,1230 SHAWSON DRIVE,,01-10-2021 00:00,12/31/2154 23:59:59,L4W 1C3,154
WASTE MANAGEMENT DEPARTMENT,Business;Remit to,VCA010517,"COUNTY OF LAMBTON 789 BROADWAY STREET - BOX 3000
WYOMING, ON  N0N 1T0
CAN",WYOMING,CAN,,WASTE MANAGEMENT DEPARTMENT,L000117091,ON,"COUNTY OF LAMBTON 789 BROADWAY STREET - BOX 3000",,01-10-2021 00:00,12/31/2154 23:59:59,N0N 1T0,154
"WASTE SERVICES, INC.",Business;Remit to,VCA010518,"1223 CONFEDERATIST.
SARNIA, ON  N7S 4M7
CAN",SARNIA,CAN,,"WASTE SERVICES, INC.",L000117092,ON,"1223 CONFEDERATIST.",,01-10-2021 00:00,12/31/2154 23:59:59,N7S 4M7,154
WATSON TIMBER MART,Business;Remit to,VCA010519,"PO BOX 270
COURTRIGHT, ON  N0N 1H0
CAN",COURTRIGHT,CAN,,WATSON TIMBER MART,L000117093,ON,"PO BOX 270",,01-10-2021 00:00,12/31/2154 23:59:59,N0N 1H0,154
WEICKER TOTAL HOME CARE,Business;Remit to,VCA010520,"136 LIEBLER STREET
TAVISTOCK, ON  N0B 2R0
CAN",TAVISTOCK,CAN,,WEICKER TOTAL HOME CARE,L000117094,ON,136 LIEBLER STREET,,01-10-2021 00:00,12/31/2154 23:59:59,N0B 2R0,154
WELDCO-BEALES MFG.,Business;Remit to,VCA010521,"515 WELHAM ROAD
BARRIE, ON  L4N 8Z6
CAN",BARRIE,CAN,,WELDCO-BEALES MFG.,L000117095,ON,515 WELHAM ROAD,,01-10-2021 00:00,12/31/2154 23:59:59,L4N 8Z6,154
WHAT'S YOUR SIGN CO.,Business;Remit to,VCA010522,"1363 CHRISTINA ST NORTH
SARNIA, ON  N7V 3C8
CAN",SARNIA,CAN,,WHAT'S YOUR SIGN CO.,L000117096,ON,1363 CHRISTINA ST NORTH,,01-10-2021 00:00,12/31/2154 23:59:59,N7V 3C8,154
WINNIPEG TAX CENTRE (CRA),Business;Remit to,VCA010523,"WINNIPEG TAX CENTRE AND NATIONAL VERIFICATION AND COLLECTIONS CENTR E66 STAPON ROAD
WINNIPEG, MB  R3C 3M2
CAN",WINNIPEG,CAN,,WINNIPEG TAX CENTRE (CRA),L000117097,MB,"WINNIPEG TAX CENTRE AND NATIONAL VERIFICATION AND COLLECTIONS CENTR E66 STAPON ROAD",,01-10-2021 00:00,12/31/2154 23:59:59,R3C 3M2,154
WSIB,Business;Remit to,VCA010524,"148 FULLERTON ST. 7TH FL.
LONDON, ON  N6A 5P3
CAN",LONDON,CAN,,WSIB,L000117098,ON,148 FULLERTON ST. 7TH FL.,,01-10-2021 00:00,12/31/2154 23:59:59,N6A 5P3,154
BRUSH MACHINERY INC.,Business;Remit to,VCA010525,"9130 TALBOT TRAIL
BLENHEIM, ON  N0P 2L0
CAN",BLENHEIM,CAN,,BRUSH MACHINERY INC.,L000117099,ON,9130 TALBOT TRAIL,,04/21/2021 00:00:00,12/31/2154 23:59:59,N0P 2L0,154
K.T. BACKHOE SERVICE & TRUCKING INC,Business;Remit to,VCA010526,"306 ROAD 11 RR #2
SOUTH WOODSLEE, ON  N0R 1V0
CAN",SOUTH WOODSLEE,CAN,,K.T. BACKHOE SERVICE & TRUCKING INC,L000117100,ON,306 ROAD 11 RR #2,,04/21/2021 00:00:00,12/31/2154 23:59:59,N0R 1V0,154
ATLANTIC TILTLOAD LTD,Business;Remit to,VCA010527,"PO BOX 38050
DARTMOUTH, NS  B3B 1X2
CAN",DARTMOUTH,CAN,,ATLANTIC TILTLOAD LTD,L000117101,NS,PO BOX 38050,,04/21/2021 00:00:00,12/31/2154 23:59:59,B3B 1X2,154
FRANKS MOBILE EQUIPMENT REPAIR LTD,Business;Remit to,VCA010528,"1045 FAIRVILLE BLVD, PO BOX 673
SAINT JOHN, NB  E2L 4A5
CAN",SAINT JOHN,CAN,,FRANKS MOBILE EQUIPMENT REPAIR LTD,L000117102,NB,"1045 FAIRVILLE BLVD, PO BOX 673",,04/21/2021 00:00:00,12/31/2154 23:59:59,E2L 4A5,154
ELECTROZAD SUPPLY COMPANY LTD,Business;Remit to,VCA010531,"419 Merritt Ave PO BOX 670
CHATHAM, ON  N7M 5K8
CAN",CHATHAM,CAN,,ELECTROZAD SUPPLY COMPANY LTD,L000117105,ON,419 Merritt Ave PO BOX 670,,04/21/2021 00:00:00,12/31/2154 23:59:59,N7M 5K8,154
1974289 ONTARIO LIMITED O/A KKP,Business;Remit to,VCA010534,"175 EXMOUTH STREET
SARNIA, ON  N7T 5M4
CAN",SARNIA,CAN,,1974289 ONTARIO LIMITED O/A KKP,L000117108,ON,175 EXMOUTH STREET,,04/21/2021 00:00:00,12/31/2154 23:59:59,N7T 5M4,154
Fanchem Ltd. dba PVS Benson,Business;Remit to,VCA010538,"1012 Gore Road
Freelton, ON  L8B 0Z5
CAN",Freelton,CAN,,Fanchem Ltd. dba PVS Benson,L000116325,ON,1012 Gore Road,,08-02-2021 21:02,12/31/2154 23:59:59,L8B 0Z5,154
CANADIAN LIQUID BLASTING SYSTEMS,Business;Remit to,VCA010539,"114 KENDALL ST. UNIT 5
POINT EDWARD, ON  N7V4G5
CAN",POINT EDWARD,CAN,,CANADIAN LIQUID BLASTING SYSTEMS,L000118587,ON,114 KENDALL ST. UNIT 5,,06-08-2021 15:43,12/31/2154 23:59:59,N7V4G5,154
FASKEN MARTINEAU DUMOULIN USD,Business;Remit to,VCA010543,"800 PLACE VICTORIA, BUREAU 3700, C.P. 242
MONTREAL, QC  H4Z 1E9
CAN",MONTREAL,CAN,,FASKEN MARTINEAU DUMOULIN USD,L000119584,QC,"800 PLACE VICTORIA, BUREAU 3700, C.P. 242",,06/22/2021 14:36:38,12/31/2154 23:59:59,H4Z 1E9,154
LE GROUPE CENTCO INC.,Business;Remit to,VCA010544,"6500 St-Jacques
MONTR�AL, QC  H4B 1T6
CAN",MONTR�AL,CAN,,LE GROUPE CENTCO INC.,L000116543,QC,6500 St-Jacques,,06-03-2021 20:29,12/31/2154 23:59:59,H4B 1T6,154
PLANIFACTION COMM DE RISQUE & MESURES D'URG,Business;Remit to,VCA010545,"435 RUE DESHAIES
TROIS-RIVI�RES, QC  G9A 5P2
CAN",TROIS-RIVI�RES,CAN,,PLANIFICATION COMMUNICATION DE RISQUE,L000119599,QC,435 RUE DESHAIES,,08/19/2021 13:37:50,12/31/2154 23:59:59,G9A 5P2,154
CANTECH ENVIRONMENTAL SOLUTIONS INC.,Business;Remit to,VCA010546,"PO BOX 798
2665 KAYMAR CRES.
BRIGHT'S GROVE, ON  NON 1C0
CAN",BRIGHT'S GROVE,CAN,,CANTECH ENVIRONMENTAL SOLUTIONS INC.,L000118950,ON,"PO BOX 798
2665 KAYMAR CRES.",,06/17/2021 17:32:27,12/31/2154 23:59:59,NON 1C0,154
MICHAEL LEYSTRA,Remit to,VCA010548,CAN,,CAN,,MICHAEL LEYSTRA,L000119868,,,,06/28/2021 17:49:18,12/31/2154 23:59:59,,154
HYDRO ONE NETWORKS INC.,Business;Remit to,VCA010549,"483 BAY ST
(ACCOUNTS RECEIVABLE UNIT-TCA8)
TORONTO, ON  M5G 2P5
CAN",TORONTO,CAN,,HYDRO ONE NETWORKS INC.,L000119870,ON,"483 BAY ST
(ACCOUNTS RECEIVABLE UNIT-TCA8)",,06/28/2021 18:01:56,12/31/2154 23:59:59,M5G 2P5,154
ENVIROTECH CONSULTING SERVICES INC.,Business;Remit to,VCA010550,"35 RASPBERRY TRAIL
THOROLD, ON  L2V 5E3
CAN",THOROLD,CAN,,ENVIROTECH CONSULTING SERVICES INC.,L000119876,ON,35 RASPBERRY TRAIL,,06/28/2021 20:36:26,12/31/2154 23:59:59,L2V 5E3,154
CUBEX LIMIT�E,Business;Remit to,VCA010551,"850 RUE BOUCHER
ST. JEAN-SUR-RICHELIEU, QC  J3B 7Z8
CAN",ST. JEAN-SUR-RICHELIEU,CAN,,CUBEX LIMIT�E,L000119716,QC,850 RUE BOUCHER,,07-05-2021 13:16,12/31/2154 23:59:59,J3B 7Z8,154
SIGNALTECH M.L. INC.,Business;Remit to,VCA010552,"446 ST-PAUL, SUITE 100
REPENTIGNY, QC  J5Z 0C8
CAN",REPENTIGNY,CAN,,SIGNALTECH M.L. INC.,L000119929,QC,"446 ST-PAUL, SUITE 100",,07-07-2021 17:13,12/31/2154 23:59:59,J5Z 0C8,154
FORD CREDIT CANADA LEASING,Business;Remit to,VCA010553,"P.O. BOX 4600 STN AGINCOURT
SCARBOROUGH, ON  M1S 5V2
CAN",SCARBOROUGH,CAN,,FORD CREDIT CANADA LEASING,L000120010,ON,P.O. BOX 4600 STN AGINCOURT,,07-07-2021 17:43,12/31/2154 23:59:59,M1S 5V2,154
INDUSTRIAL SCIENTIFIC CANADA ULC,Remit to,VCA010554,"C/O T10452C, 
PO BOX 4687, STN A
TORONTO, ON  M5W 6B5
CAN",TORONTO,CAN,,INDUSTRIAL SCIENTIFIC CANADA ULC,L000120016,ON,"C/O T10452C, 
PO BOX 4687, STN A",,07-08-2021 14:50,12/31/2154 23:59:59,M5W 6B5,154
"PINNACLE MANUFACTURING, LLC.",Business;Remit to,VCA010555,"512 W HENDERSON ROAD
BOAZ, AL  35957",BOAZ,USA,,"PINNACLE MANUFACTURING, LLC.",L000120041,AL,512 W HENDERSON ROAD,,07-09-2021 16:30,12/31/2154 23:59:59,35957,154
ACIER INOXYDABLE PINACLE INC.,Business;Remit to,VCA010556,"4665 RUE COUSENS
ST-LAURENT, QC  H4S 1X5
CAN",ST-LAURENT,CAN,,ACIER INOXYDABLE PINACLE INC.,L000119859,QC,4665 RUE COUSENS,,07/13/2021 18:47:35,12/31/2154 23:59:59,H4S 1X5,154
D SMITH SERVICES - 2846708 ONTARIO INC.,Remit to,VCA010560,"18 DEVON RD
CHATHAM, ON  N7L 3T6
CAN",CHATHAM,CAN,,D SMITH SERVICES,L000121473,ON,18 DEVON RD,,07/20/2021 18:15:34,12/31/2154 23:59:59,N7L 3T6,154
LAFLEUR & FILS INC.,Business;Remit to,VCA010561,"13110 RUE CHERRIER
MONTREAL, QC  H1A 3T9
CAN",MONTREAL,CAN,,LAFLEUR & FILS,L000121679,QC,13110 RUE CHERRIER,,09-01-2021 13:35,12/31/2154 23:59:59,H1A 3T9,154
GROUPE ROBERT INC.,Business;Remit to,VCA010564,"500 ROUTE 112
ROUGEMONT, QC  J0L 1M0
CAN",ROUGEMONT,CAN,,GROUPE ROBERT INC.,L000123971,QC,500 ROUTE 112,,07/29/2021 14:33:42,12/31/2154 23:59:59,J0L 1M0,154
RIVERSIDE PRINT & SIGNS,Business;Remit to,VCA010565,"175 EXMOUTH STREET
SARNIA, ON  N7T 5M4
CAN",SARNIA,CAN,,RIVERSIDE PRINT & SIGNS,L000122816,ON,175 EXMOUTH STREET,,07/29/2021 17:55:39,12/31/2154 23:59:59,N7T 5M4,154
"INNOVATIVE RECYCLING TECHNOLIGIES, INC.",Business;Remit to,VCA010566,"690 NORTH QUEENS AVENUE
LINDENHURST, NY  11757",LINDENHURST,USA,,"INNOVATIVE RECYCLING TECHNOLOGIES, INC.",L000124669,NY,690 NORTH QUEENS AVENUE,,08-03-2021 19:01,12/31/2154 23:59:59,11757,154
VELOCITY TRUCK & TRAILER REPAIR LTD,Business;Remit to,VCA010567,"3176 DIVISION RD NORTH, RR#3
COTTAM, ON  N0R 1B0
CAN",COTTAM,CAN,,VELOCITY TRUCK & TRAILER REPAIR LTD,L000124674,ON,"3176 DIVISION RD NORTH, RR#3",,08-03-2021 19:09,12/31/2154 23:59:59,N0R 1B0,154
"STERICYCLE ENVIRONMENTAL SOLUTIONS, INC.",Remit to,VCA010570,"29338 NETWORK PLACE
CHICAGO, IL  60673-1293",CHICAGO,USA,,"STERICYCLE ENVIRONMENTAL SOLUTIONS, INC.",L000124682,IL,29338 NETWORK PLACE,,08-04-2021 16:02,12/31/2154 23:59:59,60673-1293,154
IMAGIX STE-TH�R�SE,Business;Remit to,VCA010573,"104-233 RUE TURGEON
STE-THERESE, QC  J7E 3J8
CAN",STE-THERESE,CAN,,IMAGIX STE-TH�R�SE,L000127068,QC,104-233 RUE TURGEON,,08/18/2021 14:33:17,12/31/2154 23:59:59,J7E 3J8,154
LOCATION DICKIE MOORE,Business;Remit to,VCA010574,"4955 CHEMIN SAINT-FRANCOIS
VILLE SAINT-LAURENT, QC  H4S 1P3
CAN",VILLE SAINT-LAURENT,CAN,,LOCATION DICKIE MOORE,L000127472,QC,4955 CHEMIN SAINT-FRANCOIS,,08/19/2021 19:55:24,12/31/2154 23:59:59,H4S 1P3,154
"ADVANCED WATER TREATMENT TECHNOLOGIES, LLC",Remit to,VCA010575,"1767 12th St. #301
HOOD RIVER, OR  97031",HOOD RIVER,USA,,"ADVANCED WATER TREATMENT TECHNOLOGIES, LLC",L000128070,OR,1767 12th St. #301,,08/23/2021 14:47:37,12/31/2154 23:59:59,97031,154
"AMNOR INDUSTRIES, INC.",Business;Remit to,VCA010577,"8 RUE DOYON
ROUYN-NORANDA, QC  J9X 7B4
CAN",ROUYN-NORANDA,CAN,,"AMNOR INDUSTIRES, INC.",L000129398,QC,8 RUE DOYON,,08/30/2021 19:01:40,12/31/2154 23:59:59,J9X 7B4,154
"YVES SAINT-ANDR�, AVOCAT-ARBITRE",Business;Remit to,VCA010582,"2506 - 495, avenue Viger Ouest
Montr�al, QC  H2Z 0B1
CAN",Montr�al,CAN,,Me YVES SAINT-ANDR�,L000131375,QC,"2506 - 495, avenue Viger Ouest",,09/13/2021 17:22:53,12/31/2154 23:59:59,H2Z 0B1,154
PRIORITY 1 INC,Remit to,VCA010583,"PO Box 840808
DALLAS, TX  75284-0808",DALLAS,USA,,PRIORITY 1 INC,L000131292,TX,PO Box 840808,,09/15/2021 19:20:15,12/31/2154 23:59:59,75284-0808,154
GREASE TO GLOW POWER WASHING,Business;Remit to,VCA010584,"22034 Grove Road
TILBURY, ON  N0P 2L0
CAN",TILBURY,CAN,,GREASE TO GLOW POWER WASHING,L000132172,ON,22034 Grove Road,,09/17/2021 14:56:26,12/31/2154 23:59:59,N0P 2L0,154
"CHANGSHA 3 BETTER ULTRA-HARD MATERIALS CO, LTD",Remit to,VCA010585,"CHINA MERCHANTS BANK
H.O. SHENZHEN
CHN",,CHN,,"CHANGSHA 3 BETTER ULTRA-HARD MATERIALS, CO, LTD",L000133370,,"CHINA MERCHANTS BANK
H.O. SHENZHEN
",,09/24/2021 13:36:31,12/31/2154 23:59:59,,154
"ABSORBENTS MIDWEST, INC.",Business;Remit to,VCA010587,"1427 LOUGAR AVENUE
SARDIA, ON  N7S 5N5
CAN",SARDIA,CAN,,"ABSORBENTS MIDWEST, INC.",L000133686,ON,1427 LOUGAR AVENUE,,09/27/2021 17:22:11,12/31/2154 23:59:59,N7S 5N5,154
TOMPKINS METAL FINSHING,Business;Remit to,VCA010588,"6 APOLLO DRIVE
BATAVIA, NY  14020-3002",BATAVIA,USA,,TOMPKINS METAL FINISHING,L000133689,NY,"6 APOLLO DRIVE
",,09/27/2021 17:30:38,12/31/2154 23:59:59,14020-3002,154
BEDCOLAB LT�E,Business;Remit to,VCA010589,"2305 AVE. FRANCIS-HUGHES
LAVAL, QC  H7S 1N5
CAN",LAVAL,CAN,,BEDCOLAB LT�E,L000133570,QC,2305 AVE. FRANCIS-HUGHES,,09/27/2021 20:41:30,12/31/2154 23:59:59,H7S 1N5,154
LOCKHART ELECTRIC (SARNIA) LTD.,Business;Remit to,VCA010590,"2-750 ONTARIO STREET
SARNIA, ON  N7T 1Z7
CAN",SARNIA,CAN,,LOCKHART ELECTRIC (SARNIA) LTD.,L000134170,ON,2-750 ONTARIO STREET,,09/29/2021 15:31:38,12/31/2154 23:59:59,N7T 1Z7,154
SARNIA PLUMBING & MECHANICAL LTD.,Business;Remit to,VCA010591,"PO BOX 2856
SARNIA, ON  N7T 7W1
CAN",SARNIA,CAN,,SARNIA PLUBMING & MECHANICAL LTD.,L000133885,ON,PO BOX 2856,,10-01-2021 20:42,12/31/2154 23:59:59,N7T 7W1,154
TRICOR LEASE & FINANCE CORP,Business;Remit to,VCA010592,"PO BOX 397
BURLINGTON, ON  L7R 3Y3
CAN",BURLINGTON,CAN,,TRICOR LEASE & FINANCE CORP,L000134870,ON,PO BOX 397,,10-04-2021 18:02,12/31/2154 23:59:59,L7R 3Y3,154
CENTRAL MACHINE & MARINE INC.,Business;Remit to,VCA010593,"649 MCGREGOR RD.
SARNIA, ON  N7T 7H5
CAN",SARNIA,CAN,,CENTRAL MACHINE & MARINE INC.,L000135170,ON,649 MCGREGOR RD.,,10-06-2021 17:59,12/31/2154 23:59:59,N7T 7H5,154
JOANNE MIRON,Business;Remit to,VCA010594,"34, RUE MARCEL-VIDAL
BLAINVILLE, QC  J7C 5M9
CAN",BLAINVILLE,CAN,,JOANNE MIRON,L000136669,QC,"34, RUE MARCEL-VIDAL",,10/14/2021 14:45:58,12/31/2154 23:59:59,J7C 5M9,154
GROUPE STAR SUITES INC.,Business;Remit to,VCA010595,"3900 RUE ALFRED LALIBERT�
BOISBRIAND, QC  J7H 1P8
CAN",BOISBRIAND,CAN,,GROUPE STAR SUITES INC.,L000137776,QC,3900 RUE ALFRED LALIBERT�,,01/20/2022 19:53:11,12/31/2154 23:59:59,J7H 1P8,154
